iter	Passed	Remaining
0	0	772
1	1	641
2	1	579
3	2	582
4	2	571
5	3	551
6	3	542
7	4	538
8	4	530
9	5	528
10	5	524
11	6	523
12	6	524
13	7	527
14	7	524
15	8	522
16	9	521
17	9	521
18	10	528
19	10	528
20	11	527
21	11	525
22	12	522
23	12	519
24	13	518
25	13	513
26	14	512
27	14	511
28	15	508
29	15	504
30	16	502
31	16	499
32	17	498
33	17	497
34	17	496
35	18	494
36	18	492
37	19	492
38	19	492
39	20	490
40	20	490
41	21	490
42	21	489
43	22	487
44	22	486
45	23	485
46	23	484
47	24	485
48	25	488
49	25	488
50	26	488
51	26	489
52	27	488
53	27	487
54	28	487
55	28	486
56	29	485
57	29	484
58	30	483
59	30	482
60	31	482
61	31	480
62	32	479
63	32	479
64	33	478
65	33	478
66	34	477
67	34	476
68	35	474
69	35	473
70	36	471
71	36	471
72	37	471
73	37	470
74	37	468
75	38	467
76	38	466
77	39	466
78	40	466
79	40	467
80	41	467
81	41	467
82	42	464
83	42	464
84	43	463
85	43	463
86	44	464
87	44	463
88	45	463
89	45	462
90	46	462
91	46	462
92	47	461
93	47	461
94	48	461
95	48	460
96	49	459
97	49	458
98	50	457
99	50	457
100	51	456
101	51	455
102	52	455
103	52	454
104	53	454
105	53	452
106	54	452
107	54	451
108	55	452
109	55	451
110	56	452
111	57	453
112	57	452
113	58	452
114	58	452
115	59	451
116	59	449
117	60	449
118	60	448
119	60	447
120	61	446
121	61	445
122	62	444
123	62	444
124	63	444
125	63	443
126	64	442
127	64	441
128	65	440
129	65	440
130	66	439
131	66	438
132	67	437
133	67	436
134	68	436
135	68	436
136	69	435
137	69	434
138	70	434
139	70	434
140	71	436
141	71	434
142	72	434
143	72	433
144	73	432
145	73	431
146	74	430
147	74	429
148	75	428
149	75	427
150	75	427
151	76	426
152	76	425
153	77	424
154	77	423
155	78	423
156	78	422
157	79	421
158	79	420
159	79	419
160	80	418
161	80	417
162	81	416
163	81	415
164	81	414
165	82	414
166	82	413
167	83	412
168	83	411
169	84	410
170	84	410
171	85	409
172	85	410
173	86	410
174	86	409
175	87	408
176	87	408
177	88	407
178	88	406
179	89	406
180	89	405
181	90	404
182	90	403
183	90	403
184	91	402
185	91	401
186	92	401
187	92	400
188	93	399
189	93	398
190	94	398
191	94	397
192	94	396
193	95	395
194	95	395
195	96	394
196	96	393
197	96	392
198	97	391
199	97	391
200	98	390
201	98	389
202	99	389
203	99	388
204	100	388
205	100	388
206	101	388
207	101	388
208	102	387
209	102	386
210	103	386
211	103	385
212	104	384
213	104	384
214	105	383
215	105	383
216	105	382
217	106	381
218	106	380
219	107	380
220	107	379
221	108	378
222	108	378
223	108	377
224	109	376
225	109	376
226	110	375
227	110	374
228	111	374
229	111	373
230	111	372
231	112	372
232	112	371
233	113	370
234	114	371
235	114	371
236	115	371
237	115	371
238	116	371
239	117	370
240	117	370
241	118	369
242	118	369
243	119	369
244	119	368
245	120	368
246	120	367
247	121	367
248	121	366
249	122	366
250	122	366
251	123	365
252	123	365
253	124	364
254	124	364
255	125	363
256	125	362
257	125	362
258	126	361
259	126	360
260	127	360
261	127	359
262	128	359
263	128	358
264	129	358
265	129	358
266	130	358
267	131	357
268	131	358
269	132	357
270	132	357
271	133	357
272	133	356
273	134	356
274	135	356
275	135	356
276	136	355
277	136	354
278	137	354
279	137	353
280	137	353
281	138	352
282	138	351
283	139	350
284	139	350
285	140	349
286	140	348
287	140	348
288	141	347
289	141	346
290	142	346
291	142	345
292	142	345
293	143	344
294	143	343
295	144	343
296	144	342
297	145	342
298	145	341
299	146	341
300	146	340
301	147	341
302	148	340
303	148	340
304	149	340
305	149	339
306	150	338
307	150	338
308	151	337
309	151	337
310	151	336
311	152	336
312	152	335
313	153	334
314	153	334
315	154	333
316	154	333
317	155	332
318	155	331
319	155	331
320	156	330
321	156	330
322	157	329
323	157	329
324	158	328
325	158	328
326	159	327
327	159	326
328	159	326
329	160	325
330	160	325
331	161	324
332	162	324
333	162	324
334	163	324
335	164	324
336	164	324
337	165	324
338	165	323
339	166	323
340	167	322
341	167	322
342	168	321
343	168	321
344	169	320
345	169	320
346	169	319
347	170	319
348	170	318
349	171	317
350	171	317
351	172	316
352	172	316
353	172	315
354	173	314
355	173	314
356	174	313
357	174	313
358	175	312
359	175	311
360	175	311
361	176	311
362	177	310
363	177	310
364	178	310
365	178	310
366	179	309
367	180	309
368	180	308
369	181	308
370	181	308
371	182	307
372	182	307
373	183	306
374	183	305
375	184	305
376	184	304
377	184	304
378	185	303
379	185	303
380	186	302
381	186	301
382	187	301
383	187	300
384	188	300
385	188	300
386	189	299
387	189	299
388	190	299
389	190	298
390	191	298
391	191	297
392	192	297
393	193	296
394	193	296
395	194	296
396	194	295
397	195	295
398	195	294
399	196	294
400	196	293
401	197	293
402	197	292
403	197	291
404	198	291
405	198	290
406	199	290
407	199	289
408	199	288
409	200	288
410	200	287
411	201	287
412	201	286
413	202	286
414	202	285
415	203	285
416	203	284
417	203	283
418	204	283
419	204	282
420	205	282
421	205	281
422	206	281
423	206	280
424	207	280
425	207	279
426	208	279
427	208	278
428	209	278
429	209	278
430	210	277
431	210	277
432	211	276
433	211	275
434	211	275
435	212	274
436	212	274
437	213	273
438	213	273
439	214	272
440	214	271
441	215	271
442	215	270
443	215	270
444	216	269
445	216	269
446	217	268
447	217	268
448	217	267
449	218	266
450	218	266
451	219	265
452	219	265
453	220	264
454	220	264
455	221	263
456	221	263
457	221	262
458	222	262
459	223	261
460	223	261
461	224	260
462	224	260
463	225	260
464	225	259
465	225	258
466	226	258
467	226	257
468	227	257
469	227	256
470	228	256
471	228	255
472	228	255
473	229	254
474	229	253
475	230	253
476	230	252
477	231	252
478	231	251
479	231	251
480	232	250
481	232	250
482	233	249
483	233	249
484	234	248
485	234	248
486	235	247
487	235	247
488	235	246
489	236	246
490	236	245
491	237	244
492	237	244
493	238	244
494	238	243
495	239	243
496	239	242
497	240	242
498	240	241
499	241	241
500	241	241
501	242	240
502	242	240
503	243	239
504	243	239
505	244	238
506	244	237
507	245	237
508	245	236
509	246	236
510	246	235
511	246	235
512	247	234
513	247	234
514	248	233
515	248	233
516	249	232
517	249	232
518	250	231
519	250	231
520	251	230
521	251	230
522	251	229
523	252	229
524	252	228
525	253	228
526	253	227
527	254	227
528	255	227
529	255	226
530	256	226
531	256	225
532	256	225
533	257	224
534	257	224
535	258	223
536	258	223
537	259	222
538	259	222
539	260	221
540	260	221
541	260	220
542	261	219
543	261	219
544	262	218
545	262	218
546	263	217
547	263	217
548	264	216
549	264	216
550	264	215
551	265	215
552	265	214
553	266	214
554	266	213
555	267	213
556	267	212
557	267	212
558	268	211
559	269	211
560	269	211
561	270	210
562	270	209
563	270	209
564	271	208
565	271	208
566	272	207
567	272	207
568	273	206
569	273	206
570	273	205
571	274	205
572	274	204
573	275	204
574	275	203
575	276	203
576	276	202
577	277	202
578	277	201
579	277	201
580	278	200
581	278	200
582	279	199
583	279	199
584	280	198
585	280	198
586	280	197
587	281	197
588	281	196
589	282	196
590	282	195
591	283	195
592	283	194
593	284	194
594	284	193
595	285	193
596	285	192
597	286	192
598	286	191
599	287	191
600	287	190
601	288	190
602	288	189
603	288	189
604	289	188
605	289	188
606	290	187
607	290	187
608	291	186
609	291	186
610	291	185
611	292	185
612	292	184
613	293	184
614	293	183
615	294	183
616	294	182
617	295	182
618	295	181
619	296	181
620	296	180
621	296	180
622	297	179
623	297	179
624	298	178
625	298	178
626	299	178
627	300	177
628	300	177
629	300	176
630	301	176
631	301	175
632	302	175
633	302	174
634	303	174
635	303	173
636	304	173
637	304	172
638	305	172
639	305	171
640	306	171
641	306	170
642	306	170
643	307	169
644	307	169
645	308	168
646	308	168
647	309	167
648	309	167
649	309	166
650	310	166
651	310	165
652	311	165
653	311	164
654	312	164
655	312	163
656	313	163
657	313	163
658	314	162
659	315	162
660	315	161
661	316	161
662	316	160
663	317	160
664	317	159
665	317	159
666	318	158
667	318	158
668	319	157
669	319	157
670	320	156
671	320	156
672	321	155
673	321	155
674	321	154
675	322	154
676	322	153
677	323	153
